id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
291	Nature Medicine — 免疫肿瘤学临床试验	Kaplan-Meier 生存曲线	Nature — Kaplan-Meier 生存曲线：免疫检查点抑制剂 vs 化疗	展示免疫治疗组与化疗组在总生存期上的显著差异，两条曲线逐步分离的过程就是疗效证据的视觉化			免疫组用深蓝实线+淡蓝置信带，化疗组用绿色虚线+淡绿置信带；中位生存时间用竖虚线标注	图内标注 HR（95% CI）和 log-rank p 值；风险人数表（Number at risk）置于 x 轴下方；删失标记用短竖线	标准双臂生存曲线——纵轴 survival probability 0-1，横轴 months from randomization；右上角 inset 放缩放	Sans-serif（Helvetica/Arial），轴标签 8pt，p 值标注 7pt，标题 10pt bold	第一眼→两条曲线的分离点 → 第二眼→置信带的宽窄（不确定性） → 最终理解→HR 值和中位生存差异的临床意义	Kaplan-Meier 生存,Nature Med
292	Nature Genetics — 全基因组关联研究	曼哈顿图（Manhattan Plot）	Nature — GWAS 曼哈顿图：全基因组关联显著性	在数百万个 SNP 位点中一眼识别哪些位点跨越了全基因组显著性阈值，"摩天大楼"般突出的峰就是与表型关联最强的遗传变异			基因组显著性线（p < 5×10⁻⁸）以上用红色点标注，已知关联位点用菱形标记； suggestive 线（p < 1×10⁻⁵）用灰色虚线	超过显著性阈值的峰标注基因名和 rs 编号；x 轴为染色体编号，y 轴为 -log₁₀(p)	全幅横向散点图，x 轴按染色体位置排列，y 轴 log 刻度；顶部留空间放基因标注引线	Sans-serif（Arial），染色体标签 7pt，基因名 6pt italic，轴标题 9pt	第一眼→红色"摩天大楼"般的显著峰 → 第二眼→染色体间的峰分布差异 → 最终理解→候选基因的功能注释意义	曼哈顿图（Manhattan ,Nature Gen
293	Science Translational Medicine — 系统综述与 Meta 分析	森林图（Forest Plot）	Science — 森林图：多项临床试验的 Meta 分析	将多个独立临床试验的结果汇总在一张图上，菱形（合并效应量）是否跨越零线决定结论方向——"综合所有证据后的最终裁决"			各研究效应量用蓝色方块（大小=权重），95% CI 用水平线；合并效应用红色菱形；无效线（OR=1）用黑色虚线	左列放研究名+年份，中列放森林图，右列放 OR（95% CI）数值；底部标注异质性 I² 和 Q 检验 p 值	经典三栏布局——左文字、中图形、右数值；底部菱形合并效应+总置信区间	Sans-serif（Arial），研究名 7pt，数值 7pt，轴标签 8pt，菱形标注 9pt bold	第一眼→红色菱形在无效线的哪一侧 → 第二眼→哪些研究的 CI 跨越无效线（不一致） → 最终理解→异质性 I² 值决定合并结果的可靠性	森林图（Forest Plot,Science Tr
294	Science — 转录组学差异表达研究	火山图（Volcano Plot）	Science — 火山图：转录组差异表达分析	同时展示基因表达的统计显著性（y 轴）和变化幅度（x 轴），右上角和左上角的"喷发点"就是既显著又大幅变化的差异表达基因			log₂FC > 1 且 -log₁₀(p) > 阈值的点着色（红=上调，蓝=下调），其余灰色半透明；显著基因密集区域放缩放 inset	顶部显著基因用引线标注基因名；x 轴双阈值竖虚线，y 轴水平虚线标 p 值阈值；角落标注上调/下调基因数	中心对称散点图，x 轴 log₂FC（中位为零线），y 轴 -log₁₀(p)；四角标注区域统计	Sans-serif（Arial），基因名 5pt，轴标签 8pt，统计标注 7pt	第一眼→红色和蓝色的"翅膀" → 第二眼→阈值线切割出的四个象限 → 最终理解→右上角基因是上调+显著的首选候选靶点	火山图（Volcano Plo,Science — 
295	Cell — 单细胞转录组学	聚类热力图（Clustered Heatmap）	Cell — 基因表达热力图：单细胞 RNA-seq 聚类	展示不同细胞类型中标志基因的表达模式，行聚类揭示细胞亚群，列聚类揭示基因共表达模块——"哪些细胞在说同一种语言"			连续色阶从深蓝（低）→ 白（中）→ 深绿（高）， dendrogram 用灰色细线；关键 marker 基因行用侧边色条标注	左侧 dendrogram + 细胞类型色条，顶部 dendrogram + 基因模块色条；右侧标注 marker 基因名；色阶图例放右下角	经典矩阵布局——行=细胞（按聚类排序），列=基因（按聚类排序），两侧 dendrogram + 色条	Sans-serif（Arial），基因名 5pt 横排，细胞标签 6pt，色条标签 7pt	第一眼→对角线方向的深绿色块（模块化表达模式） → 第二眼→色条与 dendrogram 的分组对应 → 最终理解→共表达基因模块暗示共同的调控机制	聚类热力图（Clustered,Cell — 单细胞
296	Cell Systems — 细胞间通讯分析	和弦图（Chord Diagram）	Cell — 和弦图：细胞间信号通讯网络	展示不同细胞类型之间配体-受体介导的信号通讯强度和弦粗细=通讯频率，让读者看到"谁在跟谁说话、说多少"			每种细胞类型用独立颜色，弦的颜色取源细胞色；高权重通讯路径弦加粗；低权重设半透明	外圈弧段标注细胞类型名和样本数；关键通路用引线标注配体-受体对名称	圆环布局，外圈弧段=细胞类型，内部弦=通讯关系；底部放图例和通路排名条	Sans-serif（Helvetica），细胞名 9pt bold，配体-受体标注 6pt，图例 7pt	第一眼→最粗的几条弦（主导通讯） → 第二眼→弦的颜色归属（谁发出的信号） → 最终理解→免疫细胞与肿瘤细胞的信号回路	和弦图（Chord Diagr,Cell Syste
297	The Lancet Infectious Diseases — 疫苗效力追踪研究	间隔带状生存曲线（Ribbons + Lines）	Lancet — 生存曲线：疫苗效力时间衰减	展示不同技术路线疫苗的效力随时间的衰减曲线——"保护力不是永久的，每种疫苗有不同的衰退节拍"			每种疫苗用独立颜色的带状区域（efficacy ± 95% CI），中心线为点估计；50% 效力线用 Lancet 深红虚线标注	右侧标注疫苗名和末次随访效力值；底部标注各时间点随访人数；图内标注 WHO 最低效力标准线	纵轴 vaccine efficacy 0-100%，横轴 months since vaccination；多条带状曲线叠加，底部 risk table	Serif（Times New Roman），主图标签 9pt，底部表格 7pt，轴标题 10pt italic	第一眼→哪条带先穿过 50% 效力线 → 第二眼→带的宽窄（置信区间宽=数据不确定） → 最终理解→mRNA 疫苗早期高但衰减快 vs 腺病毒载体衰减慢但起始低	间隔带状生存曲线（Ribbon,The Lancet
298	The Lancet — 药物系统性综述	森林图（Forest Plot）+ 亚组分析	Lancet — 系统评价森林图：降脂药物心血管获益	汇总所有降脂药物 RCT 的心血管事件降低效果，按亚组（年龄/性别/基线 LDL）拆分，回答"对谁最有效"			整体效应菱形用 Lancet 红，亚组方块用蓝色；亚组间异质性用灰色阴影行分隔	左列：亚组名+研究数；中列：森林图；右列：RR（95% CI）+ p for interaction；底部标注总异质性	多层森林图——每个亚组一行方块+线，底部总合并菱形；异质性检验结果嵌入行间	Serif（Times），亚组名 8pt bold，数值 7pt，轴标签 8pt	第一眼→红色总菱形在无效线左侧（获益） → 第二眼→哪些亚组的方块远离无效线（异质性受益） → 最终理解→interaction p 值判断亚组差异是否真实	森林图（Forest Plot,The Lancet
299	New England Journal of Medicine — 重症医学临床试验	箱线图叠加抖动散点（Box + Jitter）	NEJM — 箱线图+抖动散点：ICU 住院时长对比	展示两组患者 ICU 住院时长的分布差异，箱体概括分布特征，散点暴露个体数据——"不仅要知道谁住得久，还要看到每个人"			治疗组用 NEJM 深蓝填充箱体，对照组用浅蓝描边不填充；中位数线加粗；散点半透明避免遮挡	箱体上方标注中位数和 IQR；底部标注 p 值（Wilcoxon）和效应量；离群点用空心圆+数值标注	并排双箱体，y 轴为天数（log 刻度可选），x 轴为组别；上方 p 值括弧连接两组	Sans-serif（Arial），轴标签 8pt，p 值 9pt italic，数据标注 6pt	第一眼→两组箱体的中位数线高度差 → 第二眼→箱体长宽（分布离散度）和离群点 → 最终理解→p 值+效应量一起判断临床意义	箱线图叠加抖动散点（Box +,New Englan
300	NEJM — 基因组学转化医学研究	MA 图（M-A Plot）	NEJM — MA 图：转录组差异表达可视化	展示基因表达的平均水平（A 轴）与变化倍数（M 轴）的关系，揭示低表达基因的噪声放大效应——"低表达区域的变化倍数不可靠"			非显著基因为灰色半透明点，显著差异基因按上调/下调着红色/蓝色；Loess 回归曲线用红色实线	顶部标注显著基因数和 FDR 阈值；右侧标注 fold change 阈值线；低表达区域用浅灰底纹标注"低信噪比区"	散点图，x 轴为 average expression（log scale），y 轴为 log₂ fold change；Loess 曲线 + 两条水平阈值线	Sans-serif（Arial），轴标签 8pt，标注 7pt，标题 10pt bold	第一眼→红色 Loess 曲线是否偏离 y=0（系统性偏倚） → 第二眼→显著基因在 x 轴上的分布（是否集中在高表达区） → 最终理解→低表达区的"显著"可能	MA 图（M-A Plot）,NEJM — 基因组
301	Nature Cancer — 药物基因组学高通量筛选	注释热力图（Annotated Heatmap）	Nature — 热力图：药物-基因敏感性矩阵	展示多种癌细胞系对多种药物的敏感性矩阵，行聚类揭示药物作用机制分组，列聚类揭示基因型依赖的敏感模式——"哪种基因突变决定了哪种药有效"			diverging 色阶深蓝（高敏感）→ 白（中性）→ 深绿（耐药）；侧边色条标注药物类别和通路	顶部色条标注基因突变状态（突变/野生型），左侧标注药物名+靶点；敏感热点区域用矩形框标注	双向聚类热力图，行列各带 dendrogram + 多层注释色条；右下角放色阶图例	Sans-serif（Helvetica），药物名 6pt，色条标注 7pt，轴标题 9pt	第一眼→蓝色/绿色的对角块（药物-基因型特异性模式） → 第二眼→侧边色条与聚类的对应关系 → 最终理解→同通路药物在相同突变背景下的敏感性一致→机制验证	注释热力图（Annotated,Nature Can
302	Science — 全球抗菌药物耐药性监测网络	地理气泡图（Geographic Bubble Map）	Science — 地理分布气泡图：全球抗生素耐药性监测	在世界地图上用气泡大小编码耐药率，颜色编码致病菌种类，揭示耐药性的全球不均匀分布——"哪些地区是耐药重灾区"			耐药率 >50% 的气泡用红色描边，≤25% 用蓝色填充；气泡面积 = 耐药率；地区底色用淡灰	重点地区用引线标注具体耐药率数值；图例放左下角，同时展示面积映射和颜色映射；顶部放总览统计条	世界地图底图 + 气泡叠加层，每个监测站点一个气泡；底部放时间趋势 mini sparkline	Sans-serif（Helvetica），地区标注 7pt，图例 8pt，标题 11pt bold	第一眼→红色描边的大气泡集中在哪些区域 → 第二眼→颜色分布（哪些菌种在哪个区域最严重） → 最终理解→东南亚和南亚是多重耐药重灾区	地理气泡图（Geographi,Science — 
303	Cell — 单细胞多组学整合分析	UMAP 二维嵌入散点图	Cell — UMAP 散点图：单细胞降维聚类	将数万个单细胞的高维转录组数据降维到二维平面上，颜色标注细胞类型——"高维世界在二维投影中是否自然分群"			每种细胞类型独立颜色，半透明点避免遮挡；目标细胞群用凸包描边标注；过渡态细胞用渐变色	聚类中心标注细胞类型名（如 CD4+ T, B cell, NK）；图例放右侧，同时标注每种类型的细胞数	全幅散点图，无坐标轴刻度（UMAP 坐标无物理意义），底部放基因表达 feature plot 小多图	Sans-serif（Arial），细胞名 8pt bold，图例 7pt，轴标签隐藏	第一眼→颜色分离的大团块（主要细胞类型） → 第二眼→团块间的过渡区和散落点 → 最终理解→连续谱系暗示细胞分化轨迹	UMAP 二维嵌入散点图,Cell — 单细胞
304	The Lancet — Global Burden of Disease Study	水平条形图 + 误差棒	Lancet — 条形图+误差棒：全球疾病负担 DALY 排名	按疾病排名展示全球 DALY（伤残调整生命年），条形长度=负担，误差棒=不确定性——"排名告诉优先级，不确定性告诉证据强度"			前 10 位疾病用 Lancet 深红实心条，11-20 位用浅红描边条；top 3 条加粗；变化趋势箭头标注在条尾	条右端标注 DALY 值（百万）和 95% UI；左侧标注疾病名；底部标注数据来源和时间范围	水平条形图从上到下按 DALY 降序排列，每条附带水平误差棒；右侧放 2010 vs 2020 对比箭头	Serif（Times New Roman），疾病名 8pt，数值 7pt，轴标题 9pt italic	第一眼→最长的深红条（最大疾病负担） → 第二眼→误差棒长短（不确定性的疾病间差异） → 最终理解→缺血性心脏病和卒中仍是全球第一大杀手，但低背痛的排名上升最快	水平条形图 + 误差棒,The Lancet
305	New England Journal of Medicine — I 期剂量爬坡试验	剂量-反应曲线（Dose-Response Curve）	NEJM — 剂量-反应曲线：药物安全性窗	展示药物剂量与疗效/毒性反应的 S 形曲线关系，两条曲线的间距就是"治疗窗口"——间距越宽，安全范围越大			疗效曲线用 NEJM 深蓝实线+浅蓝置信带，毒性曲线用红色虚线+浅红置信带；两曲线间用淡绿填充标注治疗窗	x 轴标注剂量（mg），y 轴标注反应率（%）；推荐 II 期剂量（RP2D）用竖虚线+文字标注；ED₅₀ 和 TD₅₀ 标注在曲线拐点	双 S 曲线叠加图，x 轴 log 剂量，y 轴反应概率；底部放各剂量级入组人数条	Sans-serif（Arial），轴标签 8pt，RP2D 标注 9pt bold，曲线标注 7pt italic	第一眼→两条曲线之间的绿色区域（治疗窗） → 第二眼→RP2D 竖线的位置（在窗口中间还是偏边） → 最终理解→窗口宽窄决定剂量选择的容错空间	剂量-反应曲线（Dose-Re,New Englan
306	Deloitte Digital — Digital Maturity Assessment	矩阵图（Matrix Chart）	Deloitte — 数字化成熟度矩阵	将企业在多个维度的数字化成熟度映射到 2x2 或 3x3 矩阵中，横轴=技术能力，纵轴=组织就绪度——"技术先进但组织没准备好"是最常见的陷阱			四象限用深浅绿区分（左下浅绿=起步，右上深绿=领先）；企业位置用 Deloitte 绿色圆点+公司名标注；行业平均用黑色菱形	象限中心标注象限名称（如"数字化先驱""技术孤岛"）；x/y 轴标注维度名和刻度（1-5）；右侧放行业分布条	正方形矩阵，x 轴横、y 轴纵，四象限分割线用 Deloitte 绿虚线；右上角放行业标杆参考点	Sans-serif（Deloitte 品牌字体），象限名 12pt bold，数据标注 9pt，轴标签 10pt	第一眼→绿色圆点落在哪个象限 → 第二眼→圆点与黑色菱形的相对位置（高于/低于行业平均） → 最终理解→大多数企业集中在"技术先行、组织滞后"象限	矩阵图（Matrix Char,Deloitte D
307	Deloitte Sustainability — ESG Performance Review	雷达图（Radar Chart）	Deloitte — ESG 雷达图：企业可持续发展评分	在 E（环境）、S（社会）、G（治理）三大维度的多个子项上展示企业评分，形状越饱满越均衡——"ESG 不是单项冠军，是全面选手"			企业得分用 Deloitte 绿实心区域，行业平均用黑色虚线轮廓；差距最大的轴用红色箭头标注	每个轴端标注维度名和得分值（0-100）；中心放综合得分；底部放各维度权重说明	八轴雷达图，等角分布；内部同心圆标注 25/50/75/100 刻度	Sans-serif，维度名 9pt bold，数值 8pt，中心得分 24pt bold	第一眼→绿色区域的整体形状（饱满/凹陷） → 第二眼→最凹陷的轴（薄弱维度） → 最终理解→环境维度领先但社会维度落后→ESG 报告的重点改进方向	雷达图（Radar Chart,Deloitte S
308	Accenture Technology Vision — 年度技术趋势报告	气泡图（Bubble Chart）	Accenture — 技术趋势气泡图	在"成熟度-影响力"二维平面上展示多个技术趋势，气泡大小=投资规模，颜色=行业适用性——"哪些技术值得现在押注"			每个气泡颜色编码行业适用性（紫色=全行业，橙色=金融优先，青色=制造优先）；"战略优先"象限用淡紫底色高亮	每个气泡内或旁标注技术名（如 Generative AI, Quantum Computing, Digital Twin）；右上角放"高影响力+高成熟度"的引	四象限气泡图，x 轴=成熟度，y 轴=影响力，气泡面积=投资规模；四象限用细线分割并标注战略含义	Sans-serif（Accenture 品牌字体），技术名 8pt bold，轴标签 10pt，象限标注 11pt	第一眼→右上方的大气泡（高影响力+高成熟度+大投资） → 第二眼→紫色的位置（全行业通用）vs 橙色（行业特异） → 最终理解→Generative AI 在右	气泡图（Bubble Char,Accenture 
309	Accenture Strategy — 能源转型报告	堆叠面积图（Stacked Area Chart）	Accenture — 堆叠面积图：全球能源转型路径	展示全球一次能源消费结构从化石主导到可再生能源逐步替代的过渡路径——"转型不是一夜之间，是一个缓慢但不可逆的重叠替换"			化石能源用暖色（棕/灰/橙），清洁能源用冷色（紫/青）；2025 当前年份用竖虚线标注为"分水岭"；未来区域用虚线边框区分预测与实测	每层面积右侧标注能源类型名和占比；顶部标注总能耗趋势线；关键年份标注政策里程碑	横向时间轴（2000-2050），纵轴为 EJ（艾焦耳）；100% 堆叠 vs 绝对值双视图可选	Sans-serif（Roboto），能源名 8pt，年份 9pt，里程碑标注 7pt italic	第一眼→底部灰色/棕色面积在右半段逐渐变薄 → 第二眼→顶部紫色/青色面积膨胀 → 最终理解→煤炭先退出、石油后退出、天然气作为过渡桥梁——替代有先后顺序	堆叠面积图（Stacked A,Accenture 
310	PwC Strategy& — 全球市场进入策略	气泡矩阵图（Bubble Matrix）	PwC — 气泡矩阵：全球市场吸引力评估	在"市场增长率-竞争强度"二维矩阵上展示各区域市场，气泡大小=市场容量，颜色=进入难度——"大不一定好进，快不一定值得"			高吸引力市场（高增长+低竞争+大容量）用 PwC 红橙实心大气泡；低吸引力用黄色小气泡；推荐进入市场加 PwC 黄色描边	气泡内标注市场名缩写；右上角放"优先进入"标注；图例展示面积和颜色映射	四象限气泡散点，x=竞争强度（低→高），y=市场增长率（低→高）；PwC 红橙为主色调	Sans-serif（PwC 品牌字体），市场名 8pt bold，轴标签 10pt，象限标注 11pt	第一眼→左上象限（低竞争+高增长）的大气泡 → 第二眼→黄色描边的推荐市场 → 最终理解→东南亚市场增长率高但竞争强度中等+进入壁垒适中=最优选择	气泡矩阵图（Bubble Ma,PwC Strate
311	PwC Tax — 企业税务效率诊断	瀑布图（Waterfall Chart）	PwC — 瀑布图：企业税务效率优化路径	从当前有效税率出发，逐步展示每个优化举措带来的税率降低，最终到达目标税率——"从 25% 到 18% 的七步走路径"			税率减少项用 PwC 红橙向下柱，增加项用黄色向上柱，起止有效税率用深灰粗柱；累积效应用浅橙连线	每根柱顶标注百分点变化；底部标注优化举措名称；起始和终止柱标注具体税率值	横向瀑布图，左起点→中间分解→右终值；底部放举措优先级排名条	Sans-serif，举措名 8pt，数值 9pt bold，轴标签 10pt	第一眼→起点和终点的深灰柱高度差（总优化空间） → 第二眼→每根柱的长度（哪个举措贡献最大） → 最终理解→研发费用加计扣除和跨区域利润分配是最大的两个杠杆	瀑布图（Waterfall C,PwC Tax — 
312	Oliver Wyman — 金融风险管理年度报告	框架图（Framework Diagram）	Oliver Wyman — 风险框架图：金融风险分类体系	将金融风险拆解为三层结构：顶层风险类别→中层风险因子→底层具体事件，用嵌套矩形展示层级关系——"风险不是平铺列表，是有结构的风险树"			三层用 OW 深蓝渐变色阶（顶层最深，底层最浅）；当年新增风险因子用橙色描边标注；高关注区域用加粗边框	每个矩形内标注风险类别名和权重占比；底层事件旁标注年度发生频次；右侧放风险热力指示条	嵌套矩形树图（Treemap 风格），顶层=大矩形，中层=中等矩形，底层=小矩形；面积 = 风险权重	Sans-serif（OW 品牌字体），顶层 14pt bold，中层 10pt，底层 8pt	第一眼→最大的几个深蓝矩形（核心风险类别） → 第二眼→橙色描边的中等矩形（新增/变化的风险因子） → 最终理解→信用风险仍是最大类别但网络安全风险的增速最快	框架图（Framework D,Oliver Wym
313	Oliver Wyman — 保险行业资产负债管理	桑基图（Sankey Diagram）	Oliver Wyman — 桑基图：保险资金流向	展示保险资金从保费收入→准备金计提→投资配置→收益回报的完整资金流向，流量宽度=金额——"每一块钱的保险费最终去了哪里"			各阶段用 OW 深蓝到浅蓝的渐变；最大资金流向用深蓝加粗；资金漏损（退保/赔付）用红色分支	每个节点标注名称和金额；主要流量标注占比百分比；关键分叉点标注决策依据	左→右四阶段桑基图：收入→计提→配置→收益；节点为竖向色带，连线为弯曲流量	Sans-serif，节点名 9pt bold，数值 8pt，流量标注 7pt	第一眼→最宽的流量路径（资金主通道） → 第二眼→红色分支（资金漏损点） → 最终理解→70% 的资金进入固收投资但权益投资贡献了 45% 的收益	桑基图（Sankey Diag,Oliver Wym
314	L.E.K. Consulting — 消费者洞察与细分	气泡散点图（Bubble Scatter）	L.E.K. — 消费者细分气泡图	在"消费频率-客单价"二维平面上展示各消费人群细分，气泡大小=人群占比，颜色=价值等级——"找到你的高价值人群在哪"			高价值人群用 L.E.K. 蓝绿实心大气泡，中价值用黄色，低价值用红色小气泡；目标人群用蓝绿色描边加粗	气泡旁标注细分名称（如"品质追求者""价格敏感型"）；右上角放人群占比总和验证；底部放各细分的关键行为特征条	四象限气泡图，x=消费频率（月均次），y=客单价（元）；辅助线划分高中低价值区	Sans-serif，细分名 8pt bold，数值 7pt，轴标签 10pt	第一眼→右上方蓝绿大气泡（高频率+高客单价+大人群占比） → 第二眼→各象限的人群分布密度 → 最终理解→"品质追求者"占比仅 15% 但贡献 40% 营收=核	气泡散点图（Bubble Sc,L.E.K. Con
315	L.E.K. Consulting — 行业竞争格局分析	堆叠条形图（Stacked Bar Chart）	L.E.K. — 堆叠条形图：市场份额变迁	展示某行业 5 年间各玩家市场份额的变迁，条形内部的颜色面积变化揭示"谁在吃谁"——"集中度在提高，前两名正在蚕食长尾"			头部玩家用 L.E.K. 深蓝绿，中部用中蓝绿，尾部用灰色；5 年间份额增长最快的段用橙色边框标注	每段内标注份额百分比（≥5% 才标）；顶部标注行业集中度 CR4 值；右侧标注玩家名	横向堆叠条形图，每行一年（2019-2024），按份额降序排列；右侧放 CAGR 对比条	Sans-serif，年份标签 9pt bold，百分比 7pt，玩家名 8pt	第一眼→深蓝绿色段从左到右越来越宽（头部集中化趋势） → 第二眼→灰色段在萎缩（长尾被吃） → 最终理解→CR4 从 45% 升到 62%，行业进入整合期	堆叠条形图（Stacked B,L.E.K. Con
316	Bain & Company — 双速经济下的增长策略	分组瀑布图（Grouped Waterfall）	Bain — 双速增长瀑布图	将企业收入增长拆分为"有机增长"和"并购增长"两个驱动因素，对比同行业企业的增长路径——"有人靠内功，有人靠收购"			有机增长用 Bain 红向上柱，并购增长用黑色向上柱，衰退用灰色向下柱；双柱并排便于对比	柱顶标注增长率百分比；底部标注企业名；顶部标注行业平均线	横向分组瀑布图，每家企业在 x 轴上占一组，y 轴为增长率（%）；行业平均用水平虚线	Sans-serif（Bain 品牌字体），企业名 8pt，百分比 9pt bold，轴标签 10pt	第一眼→红黑双柱的高度差（谁靠有机、谁靠并购） → 第二眼→行业平均线以上的企业 → 最终理解→头部企业的增长 70% 靠有机，尾部企业靠并购但不可持续	分组瀑布图（Grouped W,Bain & Com
317	Bain & Company — 并购价值创造框架	价值桥图（Value Bridge）	Bain — 价值桥图：并购协同效应分解	展示并购交易从"独立价值"到"合并价值"的增值路径，中间经过成本协同、收入协同、财务工程——"溢价是否值得"			起止柱（独立价值/合并价值）用黑色粗柱；协同效应用 Bain 红向上瀑布；支付溢价用灰色向下柱	每根柱标注估值（$B）；底部标注价值来源名；净增值（正或负）在终点柱旁用红/绿标注	横向瀑布图变体：独立价值→+成本协同→+收入协同→+财务工程→-溢价→合并价值	Sans-serif，价值来源名 8pt，估值 10pt bold，净增标注 11pt bold	第一眼→起点和终点柱的高度差（净增值/减值） → 第二眼→Bain 红色柱中哪个最长（最大协同来源） → 最终理解→收入协同 > 成本协同但不确定性更高→尽调重	价值桥图（Value Brid,Bain & Com
318	Boston Consulting Group — 经典增长份额矩阵	矩阵气泡图（Matrix Bubble）	BCG — 增长份额矩阵（经典版扩充）	在"市场增长率-相对市场份额"二维矩阵上展示企业业务组合，气泡大小=业务收入——"明星业务要投资，瘦狗业务要收割"			四象限用 BCG 绿色系渐变（深绿=明星，浅绿=现金牛，灰色=瘦狗，白色=问号）；各业务用绿色圆形，大小=收入	气泡内标注业务名缩写；四象限中心标注象限名（Star/Cash Cow/Question Mark/Dog）；右上角放战略建议摘要	经典 BCG 矩阵，x=相对市场份额（右大左小），y=市场增长率（上高下低）；中位线用 BCG 绿虚线分割	Sans-serif（BCG 品牌字体），象限名 12pt bold，业务名 8pt，轴标签 10pt	第一眼→左上深绿象限的气泡（明星业务） → 第二眼→右下浅绿象限的大气泡（现金牛——大但增长慢） → 最终理解→用现金牛的收入喂养问号业务，逐步转化为明星	矩阵气泡图（Matrix Bu,Boston Con
319	BCG Henderson Institute — 适应性优势框架	多层雷达图（Multi-layer Radar）	BCG — 适应性优势雷达图：多市场对比	在六个维度（速度、灵活性、学习、韧性、创新、协作）上对比多家企业的适应性能力，揭示"谁能更快适应变化"			企业 A 用 BCG 深绿实心，企业 B 用中绿描边，行业平均用浅绿虚线；差距最大的轴用红色箭头标注	每个轴端标注维度名；雷达中心放综合得分；右侧放各维度的详细得分表	六轴等角雷达图，三层叠加（企业A/企业B/行业平均）；内部同心六边形标注 20/40/60/80 刻度	Sans-serif，维度名 9pt bold，综合得分 20pt bold，得分表 8pt	第一眼→深绿区域的形状（哪个企业更"饱满"） → 第二眼→特定轴上的差距（红色箭头标注的维度） → 最终理解→企业 A 在"学习"和"速度"维度领先但"韧性"维	多层雷达图（Multi-lay,BCG Hender
320	BCG Strategy — 企业五年战略规划	时间线路线图（Timeline Roadmap）	BCG — 时间线价值创造图：五年战略路线图	展示企业五年战略的阶段性目标、关键里程碑和预期价值释放节奏——"第一年打基础、第三年见成效、第五年收获"			每个阶段用 BCG 绿色系色块区分（深绿=奠基期，中绿=加速期，浅绿=规模化）；里程碑节点用黄色菱形标注；价值释放用绿色向上箭头	每个阶段块内标注战略主题名和 2-3 个关键举措；里程碑旁标注具体目标和达成标准；底部标注累计价值曲线	横向时间轴（Year 0 → Year 5），上方分阶段色块+里程碑，下方放累计价值创造的阶梯线	Sans-serif（BCG 品牌字体），阶段名 11pt bold，举措 8pt，里程碑标注 9pt	第一眼→三个阶段的颜色渐变和宽度（奠基最长、规模化最宽） → 第二眼→黄色里程碑菱形的分布密度 → 最终理解→价值释放集中在 Year 3-5，前两年是投资期→	时间线路线图（Timeline,BCG Strate
321	澎湃美数课	桑基图	澎湃美数课 — 中国春运人口迁徙桑基图	展示春运期间人口从一线城市向各省的回流路径和规模，揭示"从哪来、回哪去"的迁徙结构			最大三条迁徙流用蓝→紫渐变加粗，其余流半透明灰色	节点标注城市名+流出人口数，流中段标注占比百分比	左侧一线城市节点，右侧省份节点，中间流线双向	Sans 14px 标题 + 11px 标签，数字等宽加粗	第一眼→最粗的三条蓝紫流线 → 第二眼→左侧哪个城市流出最多 → 最终理解→广东/北京的全国虹吸效应	桑基图,澎湃美数课
322	澎湃美数课	河流图（ThemeRiver）	澎湃美数课 — 中国城市下沉速度河流图	展示过去十年中国主要城市地面沉降速率的年度变化，揭示哪些城市在"下沉"			沉降最严重的城市（天津、上海）用暖橙 #FF6B35 突出，其余蓝系半透明	每条河流末端标注城市名，峰值处标注沉降速率 mm/年	水平时间轴河流图，河道宽度=沉降面积	Sans 13px 河流标签 + 10px 刻度，末端标签加粗	第一眼→橙色的"异常河流" → 第二眼→哪些城市在涨 → 最终理解→天津的突出沉降曲线	河流图（ThemeRiver）,澎湃美数课
323	澎湃美数课	时间线信息图	澎湃美数课 — 中国抗疫政策时间线信息图	用时间线串联三年抗疫的关键政策节点，展示政策松紧的节奏变化			封控期红色节点，放开期蓝色节点，节点大小编码政策影响范围	每个节点标注日期+政策名，重要节点（如"新十条"）用大号字+引线	垂直时间线，左右交替排列政策卡片	Sans 16px 日期 + 13px 政策名，关键节点 18px 加粗	第一眼→红色密集区（封控高峰） → 第二眼→蓝红切换点 → 最终理解→从紧到松的政策节奏	时间线信息图,澎湃美数课
324	澎湃美数课	地图热力叠加轨迹	澎湃美数课 — 中国外卖骑手工作日轨迹地图	用一位骑手的真实GPS轨迹展示一天的工作范围和强度，揭示"困在系统里"的空间维度			取餐点用黄色脉冲圆，送餐点用橙色脉冲圆，轨迹线粗细编码速度	关键节点标注商家名/小区名+停留时长，底部统计面板	城市地图底图 + 轨迹叠加 + 右侧迷你统计面板（单数/里程/收入）	Sans 12px 标注 + 18px 统计数字，数字等宽	第一眼→密集的橙色轨迹网 → 第二眼→取餐/送餐脉冲节奏 → 最终理解→一天120km的空间代价	地图热力叠加轨迹,澎湃美数课
